Date Time|Severity|DictionaryName:EventId|Originator|OrderId|Description
======================================================================
2022-10-10 11:20:31.223335|INFO |basesodata:0|:|PNodeDriver120221010112031.0|ServiceOrderData CREATED
2022-10-10 11:20:31.225065|INFO |prov:0|ServiceOrder|PNodeDriver120221010112031.0|Service Order PNodeDriver120221010112031.0 created.
2022-10-10 11:20:31.229747|INFO |basesodata:0|:|PNodeDriver220221010112031.0|ServiceOrderData CREATED
2022-10-10 11:20:31.230163|INFO |prov:0|ServiceOrder|PNodeDriver220221010112031.0|Service Order PNodeDriver220221010112031.0 created.
2022-10-10 11:20:31.234651|INFO |basesodata:0|:|PNodeDriver320221010112031.0|ServiceOrderData CREATED
2022-10-10 11:20:31.235101|INFO |prov:0|ServiceOrder|PNodeDriver320221010112031.0|Service Order PNodeDriver320221010112031.0 created.
2022-10-10 11:21:28.577440|INFO |basesodata:1|GSM:ChangeRatePlan|1808027629|ServiceOrderData SWAPPED IN (status: New)
2022-10-10 11:21:28.587977|INFO |basesodata:4|MIGRATION:EXECUTE|1808027629|ProductOrderData CREATED
2022-10-10 11:21:28.589410|INFO |basesodata:4|CONTRACT:ChangeRatePlan|1808027629|ProductOrderData CREATED
2022-10-10 11:21:28.590503|INFO |basesodata:4|T11:SET|1808027629|ProductOrderData CREATED
2022-10-10 11:21:28.592888|INFO |prov:0|ServiceOrder|1808027629|Service Order 1808027629 created.
2022-10-10 11:21:28.598226|DEBUG|prov:33|PROVCA:PNodeDriver1:S[0]:Q|1808027629|Service Order 1808027629 stored.
2022-10-10 11:21:28.607174|DEBUG|prov:33|PROVCA:PNodeDriver1:S[0]:Q|1808027629|Service Order 1808027629 stored.
2022-10-10 11:21:28.611272|INFO |prov:3|PROVCA:PNodeDriver1:S[0]:Q|1808027629|OrderQueue LEFT from heap PROVCA:PNodeDriver1:S[0]:Q_QueueOut on port 1.
2022-10-10 11:21:28.612467|INFO |provca:62|PNodeDriver1|PNodeDriver120221010112031.0|MESSAGE RECV PASSED: processed in <> µs
2022-10-10 11:21:28.615114|INFO |basesodata:1|GSM:ChangeRatePlan|1808027630|ServiceOrderData SWAPPED IN (status: New)
2022-10-10 11:21:28.628107|INFO |basesodata:4|MIGRATION:EXECUTE|1808027630|ProductOrderData CREATED
2022-10-10 11:21:28.629118|INFO |basesodata:4|CONTRACT:ChangeRatePlan|1808027630|ProductOrderData CREATED
2022-10-10 11:21:28.630622|INFO |basesodata:4|T11:SET|1808027630|ProductOrderData CREATED
2022-10-10 11:21:28.632963|INFO |prov:0|ServiceOrder|1808027630|Service Order 1808027630 created.
2022-10-10 11:21:28.634924|DEBUG|prov:33|PROVCA:PNodeDriver1:S[0]:Q|1808027630|Service Order 1808027630 stored.
2022-10-10 11:21:28.638801|DEBUG|prov:33|PROVCA:PNodeDriver1:S[0]:Q|1808027630|Service Order 1808027630 stored.
2022-10-10 11:21:28.639484|INFO |basesodata:4|BSCS:Enrich|1808027629|ProductOrderData CREATED
2022-10-10 11:21:28.640890|INFO |basesodata:4|USSD:SET|1808027629|ProductOrderData CREATED
2022-10-10 11:21:28.646012|INFO |prov:3|PROVCA:PNodeDriver1:S[0]:Q|1808027630|OrderQueue LEFT from heap PROVCA:PNodeDriver1:S[0]:Q_QueueOut on port 1.
2022-10-10 11:21:28.646750|INFO |provca:62|PNodeDriver1|PNodeDriver120221010112031.0|MESSAGE RECV PASSED: processed in <> µs
